AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 12975(2),9,,,Ombathuveli Subrahmanyam,"O.S. Thiagarajan, Sriram Paarasuram, C.P. Viswanath",Detroit concert (2 of 2),,"Detroit, 5/28/1990",KKV
AWM SC 12976(1),9,,,Ombathuveli Subrahmanyam,O.S. Thiagarajan,Detroit Tamil Sangam (1 of 2),y,"Detroit, 6/4/1993",KKV
AWM SC 12976(2),9,,,Ombathuveli Subrahmanyam,O.S. Thiagarajan,Detroit Tamil Sangam (2 of 2),y,"Detroit, 6/4/1993",KKV
AWM SC 12977(1),9,,,Ombathuveli Subrahmanyam,O.S. Thyagarajan,Tamil Sangam Michigan (1 of 3),y,10/3/99,
AWM SC 12977(2),9,,,Ombathuveli Subrahmanyam,O.S. Thyagarajan,Tamil Sangam Michigan (1 of 3),y,10/3/99,
AWM SC 12977(3),9,,,Ombathuveli Subrahmanyam,O.S. Thyagarajan,Tamil Sangam Michigan (1 of 3),y,10/3/99,
AWM SC 12978,9,,,Padmanabhan,Rajeswari Padmanabhan / S. Bala Chandar,Music of the veena / Immortal sounds of the veena,y,5/3/95,
AWM SC 12979(1),9,,,Padmanabhan,"Rajeswari Padmanabhan, Karaikkudi, Subramanian",(1 of 2),y,"Berlin, 1975",KKV
AWM SC 12979(2),9,,,Padmanabhan,"Rajeswari Padmanabhan, Karaikkudi, Subramanian",(2 of 2),y,"Berlin, 1975",KKV
AWM SC 12980(1),9,,,Palghat,Palghat K V Narayanaswamy,Thiagaraja Festival (1 of 2),y,"Flint, MI. 2000",
AWM SC 12980(2),9,,,Palghat,Palghat K V Narayanaswamy,Thiagaraja Festival (2 of 2),y,"Flint, MI. 2000",
AWM SC 12981,9,,,Palghat,"padma Narayanaswamy, Kumar Anukalha Nwamy, Mstr. H.V. Sritvatsan, Trichur Narendran ",,y,Pitt Temple,
AWM SC 12982(1),9,,,Papanasam,Papanasam Ashok ramani ,(1 of 3),,,KKV
AWM SC 12982(2),9,,,Papanasam,Papanasam Ashok ramani ,(2 of 3),,,KKV
AWM SC 12982(3),9,,,Papanasam,Papanasam Ashok ramani ,(3 of 3),,,KKV
AWM SC 12983,9,,,Parakkal,"P. Unnikrishnan, K.K. Ravi, Arun Prakash",,y,11/24/90,
AWM SC 12984,9,,,Parakkal,"P. Unnikrishnan, V.V. Ravi, Srimushnam Raja Rao, Harishankar",Excerpts fom MAC/MFAC Concert,y,6/9/91,
AWM SC 12985(1),9,,,Parakkal,"P. Unnikrishnan, Vittal Ramamurthy, K. Arun Prakash, S. Karthik",(1 of 2),y,Dec-93,KKV
AWM SC 12985(2),9,,,Parakkal,"P. Unnikrishnan, Vittal Ramamurthy, K. Arun Prakash, S. Karthik",(2 of 2),y,Dec-93,KKV
AWM SC 12986,9,,,Parakkal,"P. Unnikrishnan, Embar S. Kannan, K. Arunprakash, S. Karthis",(1 of 1),y,Dec-93,KKV
AWM SC 12987(1),9,,,Parakkal,P. Unnikrishnan,New York Concert (1 of 3),y,"New York, 4/1995",KKV
AWM SC 12987(2),9,,,Parakkal,P. Unnikrishnan,New York Concert (2 of 3),y,"New York, 4/1995",KKV
AWM SC 12987(3),9,,,Parakkal,P. Unnikrishnan,New York Concert (3 of 3),y,"New York, 4/1995",KKV
AWM SC 12988,9,,,Parakkal,P. Unnikrishnan,Ramadashanam (1 of 1),y,,KKV
AWM SC 12989,9,,,Parakkal,P. Unnikrishnan,(1 of 1),y,,KKV
AWM SC 12990,9,,,Parakkal,P. Unnikrishnan,Golden Melodies (1 of 1),y,,KKV
AWM SC 12991,9,,,Parakkal,P. Unnikrishnan,Aavandam (1 of 1),y,,
AWM SC 12992,9,,,Parakkal,"P. Unnikrishnan, Embar Kannan, Arun Prakash, S. Karthick",(1 of 1),y,,KKV
AWM SC 12993(1),9,,,Parakkal,"P. Unnikrishnan, M.A. Sundaresan-Mannargudi Easwaran",(1 of 2),y,,KKV
AWM SC 12993(2),9,,,Parakkal,"P. Unnikrishnan, M.A. Sundaresan-Mannargudi Easwaran",(2 of 2),y,,KKV
AWM SC 12994,9,,,Parcharatnavgal,Parcharatnavgal,Prerecorded Cassette,y,,KKV
AWM SC 12995(1),9,,,Pattamal,D.K. Pattammal ,Detroit Concert (1 of 2),,"Detroit, 1977",KKV
AWM SC 12995(2),9,,,Pattamal,D.K. Pattammal ,Detroit Concert (2 of 2),,"Detroit, 1977",KKV
AWM SC 12996,9,,,Pattamal,D.K. Pattamal,Bhanahiyan songs,y,,
AWM SC 12997,10,,,Pattamal,D.K. Pattammal / Sengali Puram Anatharama Dikshitar,,y,,KKV
AWM SC 12998,10,,,Pillai,Swamimalai Rajarathnam,Pillai - Dance music - Live,,"Detroit, 6/9/1991",KKV
AWM SC 12999,10,,,Prasad,"Sukumar Prasad / Priya, Vaidyanalhau , Prakash",Guitar Vol I / Tamil Sangam,,2/20/88,
AWM SC 13000,10,,,Prasad,Sukumar Prasad ,Guitar Vol II/ Tamil Sangam ,,2/20/88,
AWM SC 13001,10,,,Priya,"Priya sisters, Usha Rajagopalan, K.V. Prasad, E.M. Subramanian",Papanasam sivan compositions,y,Dec-93,KKV
AWM SC 13002,10,,,Priya,"Priya sisters, Usha Rajagopalan, K.V. Prasad, E.M. Subramanian",AUM Cassette ,y,Dec-94,KKV
AWM SC 13003,10,,,Priya,"Priya sisters, Usha Rajagopalan, K.V. Prasad, E.M. Subramanian",Prerecorded Cassette (AUM),y,1/1/95,KKV
AWM SC 13004(1),10,,,Priya,Priya Sisters,Carnatic vocal concert (1 of 3),y,"Detroit, 5/5/1996",KKV
AWM SC 13004(2),10,,,Priya,Priya Sisters,Carnatic vocal concert (2 of 3),y,"Detroit, 5/5/1996",KKV
AWM SC 13004(3),10,,,Priya,Priya Sisters,Carnatic vocal concert (3 of 3),y,"Detroit, 5/5/1996",KKV
AWM SC 13005,10,,,Priya,Priya sisters,In harmony (CD),y,,KKV
AWM SC 13006,10,,,Priya,Priya sisters,Giridhara Gopala ,y,,
AWM SC 13007,10,,,Priya,"Priya Sisters, M.A. Sundaresaw, K.V. Prasad, Vaikkom Gopalakrishnam",,y,,KKV
AWM SC 13008,10,,,Priya,"Priya Sisters, Raghavendra Rao, Thryvarur, Vaidyanathan, Vaikom Gopala Kaishwan",(1 of 1),y,,KKV
